score,url,status,section,has_canonical,has_meta_description,h1_count,has_code_block,has_steps_heading,has_troubleshooting_heading,nav_noise_hits,main_text_len_approx,title
16,https://www.contentstack.com/docs/developers/create-releases/deploy-a-release,308,developers,False,False,0,False,False,False,0,0,
9,https://www.contentstack.com/docs/search,200,search,False,False,1,False,False,False,7,411,
8,https://www.contentstack.com/docs/developers/apis/analytics-api,200,developers,True,True,0,False,False,False,4,0,Analytics API | Contentstack
8,https://www.contentstack.com/docs/developers/apis/automation-hub-management-api,200,developers,True,True,0,False,False,False,4,0,Automate Management API | Documentation
8,https://www.contentstack.com/docs/developers/apis/brand-kit-management-api,200,developers,True,True,0,False,False,False,4,0,Brand Kit Management API | Contentstack
8,https://www.contentstack.com/docs/developers/apis/content-delivery-api,200,developers,True,True,0,False,False,False,4,0,Content Delivery API Docs | Contentstack
8,https://www.contentstack.com/docs/developers/apis/content-management-api,200,developers,True,True,0,False,False,False,4,0,Content Management API Docs | Contentstack
8,https://www.contentstack.com/docs/developers/apis/generative-ai-api,200,developers,True,True,0,False,False,False,4,0,Generative AI API | Documentation
8,https://www.contentstack.com/docs/developers/apis/graphql-content-delivery-api,200,developers,True,True,0,False,False,False,4,0,GraphQL Content Delivery API for Developers | Contentstack
8,https://www.contentstack.com/docs/developers/apis/image-delivery-api,200,developers,True,True,0,False,False,False,4,0,Image Delivery API Docs | APIs for image retrieval | Contentstack
8,https://www.contentstack.com/docs/developers/apis/knowledge-vault-api,200,developers,True,True,0,False,False,False,4,0,Knowledge Vault API | Documentation
8,https://www.contentstack.com/docs/developers/apis/launch-api,200,developers,True,True,0,False,False,False,4,0,Launch API | Contentstack
8,https://www.contentstack.com/docs/developers/apis/personalize-edge-api,200,developers,True,True,0,False,False,False,4,0,Personalize Edge API | Contentstack
8,https://www.contentstack.com/docs/developers/apis/personalize-management-api,200,developers,True,True,0,False,False,False,4,0,Personalize Management API | Contentstack
8,https://www.contentstack.com/docs/developers/apis/scim-api,200,developers,True,True,0,False,False,False,4,0,SCIM API Docs | Contentstack
